equity,position,cash,close,pending_exit_next_open,peak,drawdown
10000000.0,0.0,10000000.0,40.38100814819336,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.373966217041016,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.561500549316406,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.023311614990234,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.87092590332031,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.86624526977539,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.85686492919922,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.08893585205078,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.51324462890625,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.302268981933594,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.98442077636719,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.021934509277344,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.83439636230469,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.49214172363281,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.50151443481445,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.84046173095703,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.11140823364258,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.20517349243164,False,10000000.0,0.0
10000000.0,0.0,10000000.0,39.37300109863281,False,10000000.0,0.0
10000000.0,0.0,10000000.0,39.14092254638672,False,10000000.0,0.0
10000000.0,0.0,10000000.0,39.2487678527832,False,10000000.0,0.0
10000000.0,0.0,10000000.0,39.33079528808594,False,10000000.0,0.0
10000000.0,0.0,10000000.0,37.62423324584961,False,10000000.0,0.0
10000000.0,0.0,10000000.0,36.684207916259766,False,10000000.0,0.0
10000000.0,0.0,10000000.0,38.217308044433594,False,10000000.0,0.0
10000000.0,0.0,10000000.0,37.399192810058594,False,10000000.0,0.0
10000000.0,0.0,10000000.0,36.37008285522461,False,10000000.0,0.0
10000000.0,0.0,10000000.0,36.8149528503418,False,10000000.0,0.0
10000000.0,0.0,10000000.0,38.29780960083008,False,10000000.0,0.0
10000000.0,0.0,10000000.0,38.68146514892578,False,10000000.0,0.0
10000000.0,0.0,10000000.0,39.394649505615234,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.71746063232422,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.58564758300781,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.44911575317383,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.265541076660156,False,10000000.0,0.0
10000000.0,0.0,10000000.0,40.60213088989258,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.308250427246094,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.125,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.988487243652344,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.924922943115234,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.19055938720703,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.475372314453125,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.618953704833984,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.58363342285156,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.19761276245117,False,10000000.0,0.0
10000000.0,0.0,10000000.0,41.64719772338867,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.36272048950195,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.77227783203125,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.36036682128906,False,10000000.0,0.0
10000000.0,0.0,10000000.0,42.00025177001953,False,10000000.0,0.0
9998499.671804551,54089.64,7724047.476926621,42.0496826171875,False,10000000.0,-0.0001500328195448965
9990478.78795552,54089.64,7724047.476926621,41.90139389038086,False,10000000.0,-0.0009521212044479325
9955849.690239914,54089.64,7724047.476926621,41.26117706298828,False,10000000.0,-0.004415030976008624
9955085.629506424,54089.64,7724047.476926621,41.24705123901367,False,10000000.0,-0.004491437049357593
9904541.866823472,54089.64,7724047.476926621,40.31260681152344,False,10000000.0,-0.009545813317652791
9873732.66010411,54089.64,7724047.476926621,39.743011474609375,True,10000000.0,-0.012626733989588917
9864661.544747878,0.0,9864661.544747878,38.822696685791016,False,10000000.0,-0.013533845525212213
9864661.544747878,0.0,9864661.544747878,40.66568374633789,False,10000000.0,-0.013533845525212213
9739478.86401318,94962.0,5976803.418448909,39.62295913696289,False,10000000.0,-0.026052113598681988
9697905.457915768,94962.0,5976803.418448909,39.1851692199707,False,10000000.0,-0.030209454208423196
9726961.633223996,94962.0,5976803.418448909,39.491146087646484,False,10000000.0,-0.027303836677600443
9702374.551978573,94962.0,5976803.418448909,39.23223114013672,True,10000000.0,-0.02976254480214268
9718214.727501469,0.0,9718214.727501469,39.634735107421875,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.39264678955078,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.6727294921875,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,39.63237762451172,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.02545166015625,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.77865219116211,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.5880012512207,False,10000000.0,-0.028178527249853126
9718214.727501469,0.0,9718214.727501469,40.988136291503906,False,10000000.0,-0.028178527249853126
